Ls TT EB_gmv TEB_gmv
313 8.885386e-17 1.627551e-17 1.330756e-17
314 8.777044e-17 1.608984e-17 1.315736e-17
315 8.670580e-17 1.590693e-17 1.300935e-17
316 8.566462e-17 1.572672e-17 1.286351e-17
317 8.464037e-17 1.554916e-17 1.271978e-17
318 8.362686e-17 1.537419e-17 1.257814e-17
319 8.262323e-17 1.520178e-17 1.243854e-17
320 8.163996e-17 1.503188e-17 1.230093e-17
321 8.067537e-17 1.486445e-17 1.216527e-17
322 7.971869e-17 1.469945e-17 1.203151e-17
323 7.877831e-17 1.453683e-17 1.189964e-17
324 7.785458e-17 1.437655e-17 1.176963e-17
325 7.693530e-17 1.421857e-17 1.164147e-17
326 7.603365e-17 1.406283e-17 1.151510e-17
327 7.515592e-17 1.390930e-17 1.139046e-17
328 7.428008e-17 1.375795e-17 1.126749e-17
329 7.341068e-17 1.360874e-17 1.114618e-17
330 7.256198e-17 1.346163e-17 1.102657e-17
331 7.172495e-17 1.331660e-17 1.090867e-17
332 7.089799e-17 1.317362e-17 1.079248e-17
333 7.008847e-17 1.303263e-17 1.067792e-17
334 6.929046e-17 1.289361e-17 1.056493e-17
335 6.850007e-17 1.275651e-17 1.045343e-17
336 6.772372e-17 1.262129e-17 1.034339e-17
337 6.695581e-17 1.248794e-17 1.023479e-17
338 6.618914e-17 1.235641e-17 1.012761e-17
339 6.543927e-17 1.222668e-17 1.002183e-17
340 6.470876e-17 1.209872e-17 9.917481e-18
341 6.398048e-17 1.197252e-17 9.814584e-18
342 6.326142e-17 1.184804e-17 9.713143e-18
343 6.256229e-17 1.172526e-17 9.613107e-18
344 6.186906e-17 1.160413e-17 9.514416e-18
345 6.117649e-17 1.148462e-17 9.417011e-18
346 6.049378e-17 1.136671e-17 9.320855e-18
347 5.982648e-17 1.125037e-17 9.225933e-18
348 5.917480e-17 1.113558e-17 9.132231e-18
349 5.852948e-17 1.102232e-17 9.039732e-18
350 5.788700e-17 1.091056e-17 8.948423e-18
351 5.725275e-17 1.080029e-17 8.858286e-18
352 5.663157e-17 1.069145e-17 8.769308e-18
353 5.602373e-17 1.058404e-17 8.681473e-18
354 5.541522e-17 1.047803e-17 8.594773e-18
355 5.480513e-17 1.037341e-17 8.509198e-18
356 5.421620e-17 1.027016e-17 8.424735e-18
357 5.364303e-17 1.016826e-17 8.341360e-18
