Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
115 4.270033e-15 5.987252e-15 8.722112e-15 4.370682e-15 8.388407e-16 1.601813e-15 7.037701e-16 5.500367e-16 4.725034e-16 4.589024e-16
116 4.127061e-15 5.805127e-15 8.430941e-15 4.234026e-15 8.106817e-16 1.550732e-15 6.804056e-16 5.318897e-16 4.571045e-16 4.439532e-16
117 3.990057e-15 5.630380e-15 8.151947e-15 4.102952e-15 7.837037e-16 1.501750e-15 6.580162e-16 5.144974e-16 4.423419e-16 4.296215e-16
118 3.858773e-15 5.462648e-15 7.884523e-15 3.977185e-15 7.578476e-16 1.454764e-15 6.365532e-16 4.978241e-16 4.281845e-16 4.158772e-16
119 3.732843e-15 5.301591e-15 7.628094e-15 3.856464e-15 7.330579e-16 1.409675e-15 6.159708e-16 4.818321e-16 4.146020e-16 4.026910e-16
120 3.612155e-15 5.146884e-15 7.382121e-15 3.740545e-15 7.092819e-16 1.366390e-15 5.962257e-16 4.664899e-16 4.015668e-16 3.900361e-16
121 3.496188e-15 4.998225e-15 7.146094e-15 3.629196e-15 6.864703e-16 1.324822e-15 5.772771e-16 4.517612e-16 3.890521e-16 3.778864e-16
122 3.384914e-15 4.855326e-15 6.919532e-15 3.522200e-15 6.645762e-16 1.284889e-15 5.590866e-16 4.376206e-16 3.770334e-16 3.662180e-16
123 3.278173e-15 4.717915e-15 6.701981e-15 3.419351e-15 6.435557e-16 1.246514e-15 5.416179e-16 4.240427e-16 3.654865e-16 3.550077e-16
124 3.175694e-15 4.585737e-15 6.493013e-15 3.320453e-15 6.233671e-16 1.209622e-15 5.248366e-16 4.109960e-16 3.543896e-16 3.442343e-16
125 3.076945e-15 4.458549e-15 6.292223e-15 3.225322e-15 6.039711e-16 1.174144e-15 5.087104e-16 3.984582e-16 3.437213e-16 3.338768e-16
126 2.982209e-15 4.336121e-15 6.099228e-15 3.133786e-15 5.853306e-16 1.140016e-15 4.932087e-16 3.864038e-16 3.334620e-16 3.239164e-16
127 2.891196e-15 4.218237e-15 5.913667e-15 3.045679e-15 5.674103e-16 1.107174e-15 4.783025e-16 3.748099e-16 3.235926e-16 3.143344e-16
128 2.803420e-15 4.104692e-15 5.735195e-15 2.960844e-15 5.501771e-16 1.075561e-15 4.639643e-16 3.636568e-16 3.140955e-16 3.051138e-16
129 2.719199e-15 3.995291e-15 5.563491e-15 2.879136e-15 5.335994e-16 1.045120e-15 4.501683e-16 3.529248e-16 3.049535e-16 2.962379e-16
130 2.638159e-15 3.889850e-15 5.398245e-15 2.800414e-15 5.176475e-16 1.015798e-15 4.368898e-16 3.425917e-16 2.961510e-16 2.876916e-16
131 2.559929e-15 3.788193e-15 5.239169e-15 2.724545e-15 5.022932e-16 9.875471e-16 4.241056e-16 3.326424e-16 2.876725e-16 2.794598e-16
132 2.484762e-15 3.690156e-15 5.085985e-15 2.651404e-15 4.875096e-16 9.603190e-16 4.117937e-16 3.230611e-16 2.795039e-16 2.715288e-16
133 2.412341e-15 3.595582e-15 4.938433e-15 2.580871e-15 4.732714e-16 9.340684e-16 3.999331e-16 3.138289e-16 2.716314e-16 2.638852e-16
134 2.342473e-15 3.504320e-15 4.796265e-15 2.512834e-15 4.595546e-16 9.087533e-16 3.885039e-16 3.049318e-16 2.640422e-16 2.565166e-16
135 2.275295e-15 3.416229e-15 4.659245e-15 2.447185e-15 4.463364e-16 8.843333e-16 3.774874e-16 2.963552e-16 2.567238e-16 2.494110e-16
136 2.210367e-15 3.331175e-15 4.527151e-15 2.383823e-15 4.335950e-16 8.607695e-16 3.668656e-16 2.880841e-16 2.496649e-16 2.425572e-16
137 2.147969e-15 3.249030e-15 4.399770e-15 2.322649e-15 4.213100e-16 8.380257e-16 3.566217e-16 2.801055e-16 2.428541e-16 2.359442e-16
138 2.087599e-15 3.169673e-15 4.276902e-15 2.263573e-15 4.094617e-16 8.160697e-16 3.467394e-16 2.724076e-16 2.362811e-16 2.295621e-16
139 2.029543e-15 3.092986e-15 4.158353e-15 2.206507e-15 3.980316e-16 7.948701e-16 3.372035e-16 2.649795e-16 2.299357e-16 2.234010e-16
140 1.973364e-15 3.018862e-15 4.043943e-15 2.151367e-15 3.870020e-16 7.743951e-16 3.279993e-16 2.578095e-16 2.238086e-16 2.174517e-16
141 1.919304e-15 2.947194e-15 3.933498e-15 2.098074e-15 3.763562e-16 7.546128e-16 3.191131e-16 2.508844e-16 2.178905e-16 2.117054e-16
142 1.866995e-15 2.877884e-15 3.826854e-15 2.046552e-15 3.660781e-16 7.354942e-16 3.105316e-16 2.441970e-16 2.121731e-16 2.061539e-16
143 1.816505e-15 2.810836e-15 3.723854e-15 1.996731e-15 3.561526e-16 7.170123e-16 3.022423e-16 2.377390e-16 2.066480e-16 2.007890e-16
144 1.767699e-15 2.745961e-15 3.624349e-15 1.948541e-15 3.465652e-16 6.991413e-16 2.942332e-16 2.314965e-16 2.013074e-16 1.956033e-16
145 1.720603e-15 2.683170e-15 3.528196e-15 1.901917e-15 3.373021e-16 6.818561e-16 2.864930e-16 2.254623e-16 1.961439e-16 1.905895e-16
146 1.674941e-15 2.622384e-15 3.435260e-15 1.856798e-15 3.283502e-16 6.651333e-16 2.790108e-16 2.196292e-16 1.911504e-16 1.857407e-16
147 1.631014e-15 2.563523e-15 3.345413e-15 1.813123e-15 3.196969e-16 6.489511e-16 2.717763e-16 2.139866e-16 1.863201e-16 1.810504e-16
148 1.588346e-15 2.506512e-15 3.258530e-15 1.770836e-15 3.113304e-16 6.332877e-16 2.647796e-16 2.085288e-16 1.816467e-16 1.765123e-16
149 1.547175e-15 2.451280e-15 3.174495e-15 1.729884e-15 3.032393e-16 6.181224e-16 2.580113e-16 2.032500e-16 1.771239e-16 1.721205e-16
150 1.507365e-15 2.397759e-15 3.093196e-15 1.690214e-15 2.954126e-16 6.034363e-16 2.514625e-16 1.981416e-16 1.727459e-16 1.678692e-16
151 1.468744e-15 2.345883e-15 3.014526e-15 1.651779e-15 2.878401e-16 5.892113e-16 2.451246e-16 1.931961e-16 1.685070e-16 1.637530e-16
152 1.431457e-15 2.295592e-15 2.938382e-15 1.614530e-15 2.805119e-16 5.754296e-16 2.389894e-16 1.884074e-16 1.644020e-16 1.597668e-16
153 1.395308e-15 2.246824e-15 2.864669e-15 1.578422e-15 2.734185e-16 5.620735e-16 2.330491e-16 1.837711e-16 1.604257e-16 1.559054e-16
154 1.360365e-15 2.199525e-15 2.793291e-15 1.543414e-15 2.665509e-16 5.491275e-16 2.272964e-16 1.792809e-16 1.565732e-16 1.521644e-16
155 1.326460e-15 2.153638e-15 2.724162e-15 1.509464e-15 2.599006e-16 5.365766e-16 2.217240e-16 1.749304e-16 1.528399e-16 1.485390e-16
156 1.293570e-15 2.109112e-15 2.657195e-15 1.476533e-15 2.534592e-16 5.244059e-16 2.163251e-16 1.707140e-16 1.492213e-16 1.450250e-16
157 1.261784e-15 2.065899e-15 2.592309e-15 1.444582e-15 2.472189e-16 5.126008e-16 2.110934e-16 1.666277e-16 1.457132e-16 1.416182e-16
158 1.230954e-15 2.023949e-15 2.529428e-15 1.413578e-15 2.411722e-16 5.011478e-16 2.060224e-16 1.626674e-16 1.423114e-16 1.383147e-16
159 1.201105e-15 1.983217e-15 2.468475e-15 1.383484e-15 2.353118e-16 4.900349e-16 2.011064e-16 1.588266e-16 1.390121e-16 1.351106e-16
160 1.172091e-15 1.943661e-15 2.409382e-15 1.354269e-15 2.296310e-16 4.792495e-16 1.963395e-16 1.551008e-16 1.358115e-16 1.320024e-16
161 1.144012e-15 1.905237e-15 2.352078e-15 1.325900e-15 2.241230e-16 4.687794e-16 1.917163e-16 1.514876e-16 1.327060e-16 1.289865e-16
162 1.116821e-15 1.867907e-15 2.296500e-15 1.298348e-15 2.187817e-16 4.586132e-16 1.872317e-16 1.479830e-16 1.296923e-16 1.260597e-16
163 1.090302e-15 1.831631e-15 2.242585e-15 1.271583e-15 2.136009e-16 4.487406e-16 1.828806e-16 1.445822e-16 1.267669e-16 1.232187e-16
