Ls TT EB_gmv TEB_gmv
399 1.965626e-17 1.458622e-17 8.202351e-18
400 1.946231e-17 1.444563e-17 8.120591e-18
401 1.927125e-17 1.430676e-17 8.039833e-18
402 1.908191e-17 1.416959e-17 7.960098e-18
403 1.889349e-17 1.403410e-17 7.881343e-18
404 1.870571e-17 1.390023e-17 7.803481e-18
405 1.852021e-17 1.376793e-17 7.726419e-18
406 1.833866e-17 1.363715e-17 7.650071e-18
407 1.816040e-17 1.350789e-17 7.574488e-18
408 1.798414e-17 1.338022e-17 7.499886e-18
409 1.780867e-17 1.325421e-17 7.426488e-18
410 1.763396e-17 1.312993e-17 7.354518e-18
411 1.746421e-17 1.300738e-17 7.284032e-18
412 1.730265e-17 1.288646e-17 7.214782e-18
413 1.714560e-17 1.276704e-17 7.146485e-18
414 1.698892e-17 1.264899e-17 7.078861e-18
415 1.683207e-17 1.253224e-17 7.011705e-18
416 1.667526e-17 1.241677e-17 6.945067e-18
417 1.651859e-17 1.230261e-17 6.879049e-18
418 1.636236e-17 1.218980e-17 6.813751e-18
419 1.620752e-17 1.207835e-17 6.749262e-18
420 1.605494e-17 1.196824e-17 6.685578e-18
421 1.590462e-17 1.185945e-17 6.622659e-18
422 1.575626e-17 1.175195e-17 6.560462e-18
423 1.560955e-17 1.164570e-17 6.498948e-18
424 1.546412e-17 1.154070e-17 6.438100e-18
425 1.531966e-17 1.143692e-17 6.377927e-18
426 1.517604e-17 1.133436e-17 6.318439e-18
427 1.503406e-17 1.123302e-17 6.259644e-18
428 1.489469e-17 1.113287e-17 6.201542e-18
429 1.475746e-17 1.103389e-17 6.144104e-18
430 1.462132e-17 1.093606e-17 6.087299e-18
431 1.448597e-17 1.083936e-17 6.031098e-18
432 1.435149e-17 1.074377e-17 5.975486e-18
433 1.421789e-17 1.064932e-17 5.920558e-18
434 1.408522e-17 1.055606e-17 5.866462e-18
435 1.395569e-17 1.046403e-17 5.813343e-18
436 1.383311e-17 1.037330e-17 5.761343e-18
437 1.371666e-17 1.028384e-17 5.710444e-18
438 1.360030e-17 1.019554e-17 5.660406e-18
439 1.348114e-17 1.010828e-17 5.610976e-18
440 1.336158e-17 1.002195e-17 5.561899e-18
441 1.324341e-17 9.936451e-18 5.512973e-18
442 1.312636e-17 9.851793e-18 5.464255e-18
443 1.301001e-17 9.768029e-18 5.415890e-18
444 1.289457e-17 9.685209e-18 5.368021e-18
445 1.278027e-17 9.603382e-18 5.320789e-18
446 1.266693e-17 9.522563e-18 5.274251e-18
447 1.255429e-17 9.442719e-18 5.228354e-18
448 1.244248e-17 9.363816e-18 5.183034e-18
449 1.233181e-17 9.285819e-18 5.138232e-18
450 1.222271e-17 9.208697e-18 5.093890e-18
451 1.211570e-17 9.132430e-18 5.049984e-18
452 1.201058e-17 9.057005e-18 5.006503e-18
453 1.190629e-17 8.982409e-18 4.963437e-18
454 1.180219e-17 8.908629e-18 4.920773e-18
455 1.169847e-17 8.835666e-18 4.878536e-18
456 1.159557e-17 8.763552e-18 4.836821e-18
457 1.149452e-17 8.692320e-18 4.795733e-18
458 1.139627e-17 8.622005e-18 4.755376e-18
459 1.130079e-17 8.552640e-18 4.715848e-18
460 1.120762e-17 8.484202e-18 4.677114e-18
461 1.111588e-17 8.416624e-18 4.639029e-18
462 1.102443e-17 8.349841e-18 4.601446e-18
463 1.093275e-17 8.283782e-18 4.564217e-18
464 1.084119e-17 8.218389e-18 4.527213e-18
465 1.075016e-17 8.153652e-18 4.490429e-18
466 1.066008e-17 8.089577e-18 4.453906e-18
467 1.057125e-17 8.026173e-18 4.417684e-18
468 1.048329e-17 7.963447e-18 4.381802e-18
469 1.039567e-17 7.901404e-18 4.346295e-18
470 1.030855e-17 7.840045e-18 4.311173e-18
471 1.022263e-17 7.779365e-18 4.276445e-18
472 1.013800e-17 7.719364e-18 4.242118e-18
473 1.005390e-17 7.660039e-18 4.208200e-18
474 9.969836e-18 7.601382e-18 4.174684e-18
475 9.886238e-18 7.543374e-18 4.141541e-18
476 9.803682e-18 7.485995e-18 4.108738e-18
477 9.722298e-18 7.429227e-18 4.076242e-18
478 9.642006e-18 7.373049e-18 4.044023e-18
479 9.562499e-18 7.317465e-18 4.012107e-18
480 9.483241e-18 7.262502e-18 3.980582e-18
481 9.404460e-18 7.208188e-18 3.949538e-18
482 9.328304e-18 7.154550e-18 3.919069e-18
483 9.256643e-18 7.101614e-18 3.889257e-18
484 9.187516e-18 7.049362e-18 3.860071e-18
485 9.117511e-18 6.997736e-18 3.831372e-18
486 9.045691e-18 6.946679e-18 3.803020e-18
487 8.973651e-18 6.896132e-18 3.774876e-18
488 8.902607e-18 6.846039e-18 3.746805e-18
489 8.832474e-18 6.796389e-18 3.718791e-18
490 8.762974e-18 6.747204e-18 3.690906e-18
491 8.693935e-18 6.698505e-18 3.663222e-18
492 8.625246e-18 6.650316e-18 3.635813e-18
493 8.556946e-18 6.602657e-18 3.608748e-18
494 8.489266e-18 6.555528e-18 3.582038e-18
495 8.422378e-18 6.508911e-18 3.555649e-18
496 8.356184e-18 6.462787e-18 3.529545e-18
497 8.290524e-18 6.417139e-18 3.503690e-18
498 8.225339e-18 6.371948e-18 3.478050e-18
499 8.160638e-18 6.327210e-18 3.452629e-18
500 8.096470e-18 6.282931e-18 3.427464e-18
501 8.032967e-18 6.239117e-18 3.402593e-18
502 7.970279e-18 6.195775e-18 3.378054e-18
503 7.908625e-18 6.152910e-18 3.353885e-18
504 7.848255e-18 6.110521e-18 3.330090e-18
505 7.789294e-18 6.068595e-18 3.306640e-18
506 7.731681e-18 6.027120e-18 3.283501e-18
507 7.675263e-18 5.986083e-18 3.260640e-18
508 7.619479e-18 5.945472e-18 3.238025e-18
509 7.563650e-18 5.905275e-18 3.215629e-18
510 7.507550e-18 5.865481e-18 3.193440e-18
511 7.451471e-18 5.826080e-18 3.171446e-18
512 7.395676e-18 5.787063e-18 3.149636e-18
513 7.340187e-18 5.748418e-18 3.127999e-18
514 7.284970e-18 5.710137e-18 3.106526e-18
515 7.230170e-18 5.672220e-18 3.085224e-18
516 7.176104e-18 5.634666e-18 3.064101e-18
517 7.122956e-18 5.597476e-18 3.043165e-18
518 7.070356e-18 5.560650e-18 3.022425e-18
519 7.017823e-18 5.524188e-18 3.001888e-18
520 6.965335e-18 5.488086e-18 2.981556e-18
521 6.913327e-18 5.452338e-18 2.961427e-18
522 6.862114e-18 5.416939e-18 2.941499e-18
523 6.811455e-18 5.381882e-18 2.921770e-18
524 6.760975e-18 5.347162e-18 2.902239e-18
525 6.710578e-18 5.312778e-18 2.882913e-18
526 6.660478e-18 5.278729e-18 2.863807e-18
527 6.610994e-18 5.245017e-18 2.844936e-18
528 6.562901e-18 5.211642e-18 2.826317e-18
529 6.517094e-18 5.178606e-18 2.807964e-18
530 6.473440e-18 5.145907e-18 2.789880e-18
531 6.430332e-18 5.113532e-18 2.772031e-18
532 6.386261e-18 5.081468e-18 2.754375e-18
533 6.341248e-18 5.049700e-18 2.736872e-18
534 6.296000e-18 5.018215e-18 2.719482e-18
535 6.251037e-18 4.987001e-18 2.702166e-18
