Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
137 1.080696e-15 1.415116e-15 1.277340e-14 1.044694e-15 1.231159e-15 3.844888e-16 5.651438e-16 2.930655e-16 2.171853e-16 2.097023e-16
138 1.051543e-15 1.385317e-15 1.241203e-14 1.021100e-15 1.196129e-15 3.754207e-16 5.508529e-16 2.858180e-16 2.120133e-16 2.047169e-16
139 1.023273e-15 1.356509e-15 1.206344e-14 9.982896e-16 1.162342e-15 3.666972e-16 5.370439e-16 2.788119e-16 2.070131e-16 1.998971e-16
140 9.959319e-16 1.328651e-15 1.172711e-14 9.762316e-16 1.129746e-15 3.581875e-16 5.236967e-16 2.720145e-16 2.021777e-16 1.952362e-16
141 9.694422e-16 1.301706e-15 1.140249e-14 9.548951e-16 1.098290e-15 3.499455e-16 5.107926e-16 2.654354e-16 1.975004e-16 1.907276e-16
142 9.438686e-16 1.275637e-15 1.108915e-14 9.342512e-16 1.067927e-15 3.419747e-16 4.983133e-16 2.590738e-16 1.929749e-16 1.863653e-16
143 9.191470e-16 1.250410e-15 1.078655e-14 9.142723e-16 1.038611e-15 3.342521e-16 4.862418e-16 2.529185e-16 1.885950e-16 1.821434e-16
144 8.951834e-16 1.225992e-15 1.049432e-14 8.949321e-16 1.010301e-15 3.267736e-16 4.745617e-16 2.469569e-16 1.843550e-16 1.780562e-16
145 8.720790e-16 1.202352e-15 1.021197e-14 8.762053e-16 9.829531e-16 3.195306e-16 4.632574e-16 2.411848e-16 1.802494e-16 1.740986e-16
146 8.496627e-16 1.179460e-15 9.939169e-15 8.580682e-16 9.565301e-16 3.125135e-16 4.523139e-16 2.355961e-16 1.762728e-16 1.702655e-16
147 8.279986e-16 1.157287e-15 9.675477e-15 8.404980e-16 9.309938e-16 3.057143e-16 4.417172e-16 2.301800e-16 1.724204e-16 1.665519e-16
148 8.070112e-16 1.135807e-15 9.420553e-15 8.234727e-16 9.063090e-16 2.991248e-16 4.314537e-16 2.249342e-16 1.686872e-16 1.629533e-16
149 7.867101e-16 1.114993e-15 9.174046e-15 8.069716e-16 8.824418e-16 2.927370e-16 4.215105e-16 2.198535e-16 1.650688e-16 1.594653e-16
150 7.670548e-16 1.094821e-15 8.935624e-15 7.909747e-16 8.593599e-16 2.865433e-16 4.118752e-16 2.149267e-16 1.615607e-16 1.560836e-16
151 7.480141e-16 1.075266e-15 8.704973e-15 7.754632e-16 8.370323e-16 2.805369e-16 4.025362e-16 2.101493e-16 1.581588e-16 1.528043e-16
152 7.295801e-16 1.056307e-15 8.481783e-15 7.604190e-16 8.154297e-16 2.747108e-16 3.934821e-16 2.055174e-16 1.548590e-16 1.496235e-16
153 7.117220e-16 1.037921e-15 8.265778e-15 7.458245e-16 7.945241e-16 2.690581e-16 3.847022e-16 2.010250e-16 1.516577e-16 1.465375e-16
154 6.944130e-16 1.020088e-15 8.056660e-15 7.316634e-16 7.742883e-16 2.635724e-16 3.761863e-16 1.966668e-16 1.485511e-16 1.435428e-16
155 6.776463e-16 1.002788e-15 7.854193e-15 7.179196e-16 7.546971e-16 2.582476e-16 3.679245e-16 1.924379e-16 1.455357e-16 1.406361e-16
156 6.613484e-16 9.860025e-16 7.658104e-15 7.045780e-16 7.357256e-16 2.530779e-16 3.599075e-16 1.883334e-16 1.426083e-16 1.378141e-16
157 6.455909e-16 9.697127e-16 7.468167e-15 6.916240e-16 7.173507e-16 2.480577e-16 3.521262e-16 1.843491e-16 1.397655e-16 1.350737e-16
158 6.303035e-16 9.539016e-16 7.284137e-15 6.790438e-16 6.995497e-16 2.431815e-16 3.445722e-16 1.804805e-16 1.370044e-16 1.324121e-16
159 6.154801e-16 9.385524e-16 7.105816e-15 6.668240e-16 6.823017e-16 2.384443e-16 3.372370e-16 1.767220e-16 1.343221e-16 1.298264e-16
160 6.010756e-16 9.236492e-16 6.932966e-15 6.549517e-16 6.655855e-16 2.338411e-16 3.301129e-16 1.730704e-16 1.317156e-16 1.273138e-16
161 5.870679e-16 9.091768e-16 6.765408e-15 6.434149e-16 6.493821e-16 2.293669e-16 3.231924e-16 1.695247e-16 1.291825e-16 1.248719e-16
162 5.739983e-16 8.951203e-16 6.602932e-15 6.322018e-16 6.336723e-16 2.250181e-16 3.164681e-16 1.660768e-16 1.267199e-16 1.224981e-16
163 5.611995e-16 8.814660e-16 6.445371e-15 6.213011e-16 6.184385e-16 2.207907e-16 3.099332e-16 1.627243e-16 1.243256e-16 1.201900e-16
164 5.486559e-16 8.682002e-16 6.292531e-15 6.107019e-16 6.036631e-16 2.166801e-16 3.035811e-16 1.594821e-16 1.219971e-16 1.179454e-16
165 5.364100e-16 8.553100e-16 6.144251e-15 6.003941e-16 5.893299e-16 2.127007e-16 2.974053e-16 1.563459e-16 1.197321e-16 1.157620e-16
166 5.244669e-16 8.427831e-16 6.000370e-15 5.903675e-16 5.754230e-16 2.088731e-16 2.913997e-16 1.532939e-16 1.175285e-16 1.136378e-16
167 5.128780e-16 8.306075e-16 5.860728e-15 5.806127e-16 5.619272e-16 2.051525e-16 2.855586e-16 1.503172e-16 1.153842e-16 1.115707e-16
168 5.015889e-16 8.187718e-16 5.725179e-15 5.711205e-16 5.488281e-16 2.014971e-16 2.798762e-16 1.474139e-16 1.132972e-16 1.095588e-16
