Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
220 2.434461e-16 3.665391e-18 3.583949e-18 7.588171e-19 6.112364e-19 7.378256e-19 6.002800e-19
221 2.391840e-16 3.601180e-18 3.521333e-18 7.458758e-19 6.008405e-19 7.252638e-19 5.900841e-19
222 2.350108e-16 3.538387e-18 3.460101e-18 7.332168e-19 5.906711e-19 7.129758e-19 5.801103e-19
223 2.308947e-16 3.476973e-18 3.400219e-18 7.208326e-19 5.807223e-19 7.009543e-19 5.703526e-19
224 2.271649e-16 3.416902e-18 3.341647e-18 7.087160e-19 5.709883e-19 6.891924e-19 5.608054e-19
225 2.233891e-16 3.358140e-18 3.284343e-18 6.968600e-19 5.614634e-19 6.776831e-19 5.514632e-19
226 2.195408e-16 3.300651e-18 3.228274e-18 6.852579e-19 5.521422e-19 6.664201e-19 5.423206e-19
227 2.158415e-16 3.244404e-18 3.173414e-18 6.739031e-19 5.430195e-19 6.553969e-19 5.333726e-19
228 2.121724e-16 3.189364e-18 3.119732e-18 6.627892e-19 5.340901e-19 6.446074e-19 5.246140e-19
229 2.086337e-16 3.135502e-18 3.067190e-18 6.519100e-19 5.253492e-19 6.340455e-19 5.160401e-19
230 2.052898e-16 3.082786e-18 3.015751e-18 6.412596e-19 5.167918e-19 6.237055e-19 5.076462e-19
231 2.018307e-16 3.031189e-18 2.965400e-18 6.308321e-19 5.084133e-19 6.135817e-19 4.994275e-19
232 1.984998e-16 2.980680e-18 2.916120e-18 6.206219e-19 5.002092e-19 6.036686e-19 4.913799e-19
233 1.954146e-16 2.931232e-18 2.867883e-18 6.106234e-19 4.921751e-19 5.939609e-19 4.834988e-19
234 1.922095e-16 2.882820e-18 2.820653e-18 6.008315e-19 4.843068e-19 5.844536e-19 4.757802e-19
235 1.891126e-16 2.835415e-18 2.774400e-18 5.912409e-19 4.766000e-19 5.751415e-19 4.682199e-19
236 1.861285e-16 2.788995e-18 2.729108e-18 5.818466e-19 4.690508e-19 5.660198e-19 4.608142e-19
237 1.831009e-16 2.743532e-18 2.684758e-18 5.726438e-19 4.616553e-19 5.570838e-19 4.535590e-19
238 1.801358e-16 2.699005e-18 2.641317e-18 5.636277e-19 4.544097e-19 5.483290e-19 4.464508e-19
