Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
208 1.585108e-16 1.137214e-17 1.027230e-17 2.468643e-18 1.992667e-18 2.330403e-18 1.909183e-18
209 1.556507e-16 1.116333e-17 1.008808e-17 2.423324e-18 1.955982e-18 2.288229e-18 1.874455e-18
210 1.529013e-16 1.095934e-17 9.908078e-18 2.379059e-18 1.920153e-18 2.247026e-18 1.840530e-18
211 1.502450e-16 1.076004e-17 9.732021e-18 2.335819e-18 1.885156e-18 2.206766e-18 1.807385e-18
212 1.475701e-16 1.056527e-17 9.559691e-18 2.293576e-18 1.850969e-18 2.167424e-18 1.774999e-18
213 1.449632e-16 1.037493e-17 9.391175e-18 2.252303e-18 1.817569e-18 2.128974e-18 1.743351e-18
214 1.424352e-16 1.018891e-17 9.226589e-18 2.211971e-18 1.784933e-18 2.091392e-18 1.712421e-18
215 1.400137e-16 1.000709e-17 9.065783e-18 2.172557e-18 1.753042e-18 2.054653e-18 1.682189e-18
216 1.375798e-16 9.829319e-18 8.908513e-18 2.134034e-18 1.721875e-18 2.018737e-18 1.652636e-18
217 1.351974e-16 9.655500e-18 8.754600e-18 2.096379e-18 1.691412e-18 1.983619e-18 1.623745e-18
218 1.328640e-16 9.485562e-18 8.603915e-18 2.059568e-18 1.661634e-18 1.949279e-18 1.595496e-18
219 1.305846e-16 9.319409e-18 8.456414e-18 2.023578e-18 1.632522e-18 1.915696e-18 1.567873e-18
220 1.284138e-16 9.156908e-18 8.312142e-18 1.988388e-18 1.604059e-18 1.882851e-18 1.540860e-18
221 1.262373e-16 8.997944e-18 8.171092e-18 1.953975e-18 1.576227e-18 1.850722e-18 1.514440e-18
222 1.240644e-16 8.842443e-18 8.033128e-18 1.920320e-18 1.549010e-18 1.819292e-18 1.488597e-18
223 1.223235e-16 8.690326e-18 7.898098e-18 1.887402e-18 1.522391e-18 1.788542e-18 1.463316e-18
224 1.207249e-16 8.541499e-18 7.765858e-18 1.855202e-18 1.496355e-18 1.758454e-18 1.438582e-18
225 1.189365e-16 8.395861e-18 7.636276e-18 1.823702e-18 1.470886e-18 1.729012e-18 1.414382e-18
226 1.170869e-16 8.253334e-18 7.509356e-18 1.792882e-18 1.445969e-18 1.700198e-18 1.390701e-18
227 1.153212e-16 8.113850e-18 7.385180e-18 1.762725e-18 1.421590e-18 1.671997e-18 1.367526e-18
228 1.134894e-16 7.977335e-18 7.263700e-18 1.733215e-18 1.397735e-18 1.644392e-18 1.344844e-18
229 1.116630e-16 7.843703e-18 7.144690e-18 1.704333e-18 1.374391e-18 1.617368e-18 1.322642e-18
230 1.100018e-16 7.712875e-18 7.027980e-18 1.676065e-18 1.351544e-18 1.590911e-18 1.300908e-18
231 1.081987e-16 7.584783e-18 6.913630e-18 1.648395e-18 1.329182e-18 1.565006e-18 1.279630e-18
232 1.065676e-16 7.459366e-18 6.801733e-18 1.621307e-18 1.307292e-18 1.539640e-18 1.258797e-18
233 1.049824e-16 7.336556e-18 6.692203e-18 1.594787e-18 1.285862e-18 1.514798e-18 1.238397e-18
234 1.033128e-16 7.216285e-18 6.584856e-18 1.568820e-18 1.264881e-18 1.490468e-18 1.218420e-18
235 1.016549e-16 7.098486e-18 6.479578e-18 1.543393e-18 1.244337e-18 1.466636e-18 1.198855e-18
236 1.001235e-16 6.983097e-18 6.376362e-18 1.518491e-18 1.224220e-18 1.443292e-18 1.179691e-18
237 9.859297e-17 6.870059e-18 6.275222e-18 1.494103e-18 1.204519e-18 1.420422e-18 1.160919e-18
238 9.704444e-17 6.759318e-18 6.176224e-18 1.470214e-18 1.185223e-18 1.398014e-18 1.142529e-18
