Ls T E B
474 1.390800e-17 2.914641e-19 2.652363e-19
475 1.409109e-17 2.907883e-19 2.645881e-19
476 1.427660e-17 2.901157e-19 2.639431e-19
477 1.446455e-17 2.894462e-19 2.633011e-19
478 1.454048e-17 2.887797e-19 2.626622e-19
479 1.450259e-17 2.881163e-19 2.620264e-19
480 1.446481e-17 2.874559e-19 2.613936e-19
481 1.442712e-17 2.867985e-19 2.607638e-19
482 1.438954e-17 2.861441e-19 2.601371e-19
483 1.435205e-17 2.854927e-19 2.595133e-19
484 1.431465e-17 2.848442e-19 2.588924e-19
485 1.427736e-17 2.841986e-19 2.582745e-19
486 1.424016e-17 2.835560e-19 2.576596e-19
487 1.420306e-17 2.829163e-19 2.570475e-19
488 1.416606e-17 2.822794e-19 2.564383e-19
489 1.412915e-17 2.816454e-19 2.558320e-19
490 1.409234e-17 2.810143e-19 2.552286e-19
491 1.405562e-17 2.803859e-19 2.546279e-19
492 1.401900e-17 2.797604e-19 2.540301e-19
493 1.398248e-17 2.791376e-19 2.534351e-19
494 1.394605e-17 2.785176e-19 2.528428e-19
495 1.390971e-17 2.779004e-19 2.522533e-19
496 1.387347e-17 2.772859e-19 2.516665e-19
497 1.383733e-17 2.766741e-19 2.510825e-19
498 1.380128e-17 2.760651e-19 2.505011e-19
499 1.376532e-17 2.754587e-19 2.499225e-19
500 1.372945e-17 2.748549e-19 2.493465e-19
501 1.369368e-17 2.742538e-19 2.487732e-19
502 1.365801e-17 2.736554e-19 2.482025e-19
503 1.362242e-17 2.730596e-19 2.476344e-19
504 1.358693e-17 2.724663e-19 2.470690e-19
505 1.355153e-17 2.718757e-19 2.465061e-19
506 1.351623e-17 2.712876e-19 2.459458e-19
507 1.348101e-17 2.707021e-19 2.453881e-19
508 1.344589e-17 2.701191e-19 2.448329e-19
509 1.341086e-17 2.695386e-19 2.442802e-19
510 1.337592e-17 2.689607e-19 2.437300e-19
511 1.334107e-17 2.683852e-19 2.431823e-19
512 1.330631e-17 2.678122e-19 2.426371e-19
513 1.327164e-17 2.672417e-19 2.420944e-19
514 1.323707e-17 2.666736e-19 2.415541e-19
515 1.320258e-17 2.661079e-19 2.410162e-19
516 1.316818e-17 2.655447e-19 2.404808e-19
517 1.313387e-17 2.649839e-19 2.399477e-19
518 1.305528e-17 2.644254e-19 2.394171e-19
519 1.293321e-17 2.638693e-19 2.388888e-19
520 1.281228e-17 2.633156e-19 2.383629e-19
521 1.269248e-17 2.627642e-19 2.378393e-19
522 1.257380e-17 2.622152e-19 2.373180e-19
523 1.245623e-17 2.616685e-19 2.367991e-19
524 1.233976e-17 2.611241e-19 2.362825e-19
525 1.222437e-17 2.605819e-19 2.357681e-19
526 1.211007e-17 2.600421e-19 2.352561e-19
527 1.199683e-17 2.595045e-19 2.347462e-19
528 1.188466e-17 2.589691e-19 2.342387e-19
529 1.177353e-17 2.584360e-19 2.337334e-19
530 1.166344e-17 2.579051e-19 2.332303e-19
531 1.155438e-17 2.573765e-19 2.327294e-19
532 1.144635e-17 2.568500e-19 2.322306e-19
533 1.133932e-17 2.563257e-19 2.317341e-19
534 1.123329e-17 2.558036e-19 2.312398e-19
535 1.112825e-17 2.552836e-19 2.307476e-19
536 1.102420e-17 2.547658e-19 2.302575e-19
537 1.092112e-17 2.542501e-19 2.297696e-19
538 1.081900e-17 2.537365e-19 2.292838e-19
