Ls T E B
452 1.148216e-17 3.245970e-18 3.120128e-18
453 1.163941e-17 3.239104e-18 3.113706e-18
454 1.179882e-17 3.232279e-18 3.107312e-18
455 1.196041e-17 3.225481e-18 3.100958e-18
456 1.212421e-17 3.218709e-18 3.094631e-18
457 1.229027e-17 3.211978e-18 3.088330e-18
458 1.245858e-17 3.205274e-18 3.082057e-18
459 1.262921e-17 3.198597e-18 3.075824e-18
460 1.280217e-17 3.191960e-18 3.069618e-18
461 1.297750e-17 3.185351e-18 3.063439e-18
462 1.315524e-17 3.178781e-18 3.057287e-18
463 1.333541e-17 3.172239e-18 3.051162e-18
464 1.351808e-17 3.165723e-18 3.045077e-18
465 1.370318e-17 3.159234e-18 3.039019e-18
466 1.389084e-17 3.152786e-18 3.032988e-18
467 1.408105e-17 3.146365e-18 3.026984e-18
468 1.427396e-17 3.139970e-18 3.021007e-18
469 1.446943e-17 3.133603e-18 3.015057e-18
470 1.466759e-17 3.127276e-18 3.009134e-18
471 1.486844e-17 3.120976e-18 3.003251e-18
472 1.507212e-17 3.114702e-18 2.997382e-18
473 1.527849e-17 3.108456e-18 2.991539e-18
474 1.548783e-17 3.102237e-18 2.985737e-18
475 1.569985e-17 3.096058e-18 2.979948e-18
476 1.591484e-17 3.089892e-18 2.974200e-18
477 1.613292e-17 3.083767e-18 2.968465e-18
478 1.621033e-17 3.077669e-18 2.962771e-18
479 1.614531e-17 3.071597e-18 2.957090e-18
480 1.608042e-17 3.065553e-18 2.951436e-18
481 1.601594e-17 3.059535e-18 2.945822e-18
482 1.595159e-17 3.053545e-18 2.940222e-18
483 1.588765e-17 3.047581e-18 2.934649e-18
484 1.582384e-17 3.041644e-18 2.929103e-18
485 1.576030e-17 3.035735e-18 2.923583e-18
486 1.569716e-17 3.029852e-18 2.918091e-18
487 1.563416e-17 3.023996e-18 2.912612e-18
488 1.557129e-17 3.018180e-18 2.907173e-18
489 1.550883e-17 3.012378e-18 2.901748e-18
