Ls TT TE TB EE EB EB_gmv TEB_gmv
226 3.127124e-16 8.907853e-16 1.268337e-15 6.810820e-16 1.262216e-16 1.064869e-16 7.566975e-17
227 3.074525e-16 8.807060e-16 1.247550e-15 6.725261e-16 1.241271e-16 1.047867e-16 7.447164e-17
228 3.023046e-16 8.708184e-16 1.227203e-15 6.641329e-16 1.220771e-16 1.031218e-16 7.329824e-17
229 2.972655e-16 8.611180e-16 1.207283e-15 6.558982e-16 1.200705e-16 1.014913e-16 7.214889e-17
230 2.923326e-16 8.515999e-16 1.187779e-15 6.478183e-16 1.181063e-16 9.989421e-17 7.102303e-17
231 2.875029e-16 8.422599e-16 1.168682e-15 6.398891e-16 1.161834e-16 9.832982e-17 6.992003e-17
232 2.827740e-16 8.330936e-16 1.149981e-15 6.321072e-16 1.143006e-16 9.679727e-17 6.883934e-17
233 2.781435e-16 8.240965e-16 1.131665e-15 6.244688e-16 1.124570e-16 9.529577e-17 6.778039e-17
234 2.736087e-16 8.152649e-16 1.113726e-15 6.169704e-16 1.106517e-16 9.382454e-17 6.674266e-17
235 2.691672e-16 8.065945e-16 1.096154e-15 6.096088e-16 1.088836e-16 9.238285e-17 6.572562e-17
236 2.648167e-16 7.980815e-16 1.078939e-15 6.023805e-16 1.071517e-16 9.096995e-17 6.472874e-17
237 2.605551e-16 7.897223e-16 1.062073e-15 5.952824e-16 1.054553e-16 8.958517e-17 6.375157e-17
238 2.563801e-16 7.815129e-16 1.045548e-15 5.883112e-16 1.037935e-16 8.822779e-17 6.279359e-17
239 2.522895e-16 7.734500e-16 1.029355e-15 5.814641e-16 1.021653e-16 8.689717e-17 6.185437e-17
240 2.482814e-16 7.655300e-16 1.013485e-15 5.747380e-16 1.005700e-16 8.559265e-17 6.093342e-17
