Ls TT TE TB EE EB EB_gmv TEB_gmv
157 6.609159e-16 1.212333e-15 1.450317e-14 1.021691e-15 1.477781e-15 6.040617e-16 2.681669e-16
158 6.453209e-16 1.192682e-15 1.414595e-14 1.003761e-15 1.441114e-15 5.916596e-16 2.625509e-16
159 6.301971e-16 1.173607e-15 1.379978e-14 9.863474e-16 1.405585e-15 5.796129e-16 2.570969e-16
160 6.155261e-16 1.155087e-15 1.346426e-14 9.694312e-16 1.371153e-15 5.679088e-16 2.517992e-16
161 6.012916e-16 1.137106e-15 1.313900e-14 9.529955e-16 1.337777e-15 5.565351e-16 2.466522e-16
162 5.874780e-16 1.119643e-15 1.282362e-14 9.370232e-16 1.305418e-15 5.454802e-16 2.416505e-16
163 5.740706e-16 1.102681e-15 1.251775e-14 9.214987e-16 1.274040e-15 5.347327e-16 2.367891e-16
164 5.610546e-16 1.086204e-15 1.222107e-14 9.064068e-16 1.243607e-15 5.242821e-16 2.320630e-16
165 5.484156e-16 1.070196e-15 1.193323e-14 8.917321e-16 1.214084e-15 5.141179e-16 2.274676e-16
166 5.361415e-16 1.054641e-15 1.165393e-14 8.774610e-16 1.185440e-15 5.042304e-16 2.229982e-16
167 5.242185e-16 1.039524e-15 1.138286e-14 8.635798e-16 1.157643e-15 4.946100e-16 2.186508e-16
168 5.126349e-16 1.024831e-15 1.111973e-14 8.500750e-16 1.130663e-15 4.852476e-16 2.144208e-16
169 5.013787e-16 1.010549e-15 1.086427e-14 8.369345e-16 1.104471e-15 4.761345e-16 2.103046e-16
170 4.904391e-16 9.966643e-16 1.061621e-14 8.241463e-16 1.079041e-15 4.672623e-16 2.062982e-16
171 4.798048e-16 9.831646e-16 1.037529e-14 8.116986e-16 1.054345e-15 4.586229e-16 2.023980e-16
172 4.694656e-16 9.700372e-16 1.014126e-14 7.995804e-16 1.030358e-15 4.502087e-16 1.986004e-16
173 4.594115e-16 9.572711e-16 9.913892e-15 7.877813e-16 1.007056e-15 4.420122e-16 1.949020e-16
174 4.496331e-16 9.448547e-16 9.692962e-15 7.762901e-16 9.844159e-16 4.340261e-16 1.912995e-16
175 4.401213e-16 9.327774e-16 9.478244e-15 7.650982e-16 9.624146e-16 4.262437e-16 1.877899e-16
176 4.308671e-16 9.210289e-16 9.269536e-15 7.541946e-16 9.410303e-16 4.186584e-16 1.843701e-16
177 4.218618e-16 9.095995e-16 9.066636e-15 7.435714e-16 9.202432e-16 4.112638e-16 1.810372e-16
178 4.130977e-16 8.984788e-16 8.869352e-15 7.332189e-16 9.000332e-16 4.040535e-16 1.777884e-16
179 4.045665e-16 8.876583e-16 8.677492e-15 7.231290e-16 8.803805e-16 3.970222e-16 1.746210e-16
180 3.962609e-16 8.771285e-16 8.490882e-15 7.132937e-16 8.612673e-16 3.901635e-16 1.715325e-16
181 3.881738e-16 8.668814e-16 8.309353e-15 7.037043e-16 8.426757e-16 3.834727e-16 1.685203e-16
182 3.802977e-16 8.569086e-16 8.132739e-15 6.943540e-16 8.245889e-16 3.769441e-16 1.655821e-16
183 3.726266e-16 8.472019e-16 7.960877e-15 6.852353e-16 8.069901e-16 3.705729e-16 1.627155e-16
184 3.651533e-16 8.377536e-16 7.793614e-15 6.763407e-16 7.898640e-16 3.643538e-16 1.599183e-16
185 3.578720e-16 8.285567e-16 7.630808e-15 6.676638e-16 7.731953e-16 3.582825e-16 1.571885e-16
186 3.507764e-16 8.196038e-16 7.472315e-15 6.591975e-16 7.569691e-16 3.523542e-16 1.545238e-16
187 3.438611e-16 8.108879e-16 7.317999e-15 6.509361e-16 7.411716e-16 3.465647e-16 1.519223e-16
188 3.371202e-16 8.024026e-16 7.167726e-15 6.428728e-16 7.257890e-16 3.409098e-16 1.493821e-16
189 3.305484e-16 7.941414e-16 7.021369e-15 6.350022e-16 7.108088e-16 3.353851e-16 1.469014e-16
190 3.241405e-16 7.860983e-16 6.878812e-15 6.273184e-16 6.962181e-16 3.299873e-16 1.444783e-16
191 3.178917e-16 7.782668e-16 6.739929e-15 6.198157e-16 6.820045e-16 3.247122e-16 1.421112e-16
192 3.117968e-16 7.706416e-16 6.604613e-15 6.124888e-16 6.681569e-16 3.195565e-16 1.397983e-16
193 3.058517e-16 7.632170e-16 6.472751e-15 6.053325e-16 6.546637e-16 3.145163e-16 1.375381e-16
194 3.000516e-16 7.559874e-16 6.344240e-15 5.983419e-16 6.415140e-16 3.095882e-16 1.353290e-16
195 2.943920e-16 7.489477e-16 6.218975e-15 5.915123e-16 6.286974e-16 3.047692e-16 1.331695e-16
