Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
96 3.819700e-15 3.324469e-15 1.135122e-14 1.813461e-15 1.005025e-15 8.971302e-16 6.466500e-16 4.744662e-16 3.110160e-16 2.996232e-16
97 3.668457e-15 3.206398e-15 1.089314e-14 1.745864e-15 9.643558e-16 8.636347e-16 6.212169e-16 4.560510e-16 2.992678e-16 2.882975e-16
98 3.524882e-15 3.094007e-15 1.045801e-14 1.681557e-15 9.257268e-16 8.317681e-16 5.970437e-16 4.385415e-16 2.880905e-16 2.775223e-16
99 3.388198e-15 2.986962e-15 1.004447e-14 1.620345e-15 8.890165e-16 8.014354e-16 5.740558e-16 4.218876e-16 2.774506e-16 2.672653e-16
100 3.258152e-15 2.884957e-15 9.651256e-15 1.562050e-15 8.541118e-16 7.725471e-16 5.521837e-16 4.060361e-16 2.673172e-16 2.574967e-16
101 3.134479e-15 2.787703e-15 9.277169e-15 1.506503e-15 8.209068e-16 7.450207e-16 5.313626e-16 3.909434e-16 2.576611e-16 2.481883e-16
102 3.016618e-15 2.694931e-15 8.921096e-15 1.453548e-15 7.893031e-16 7.187785e-16 5.115319e-16 3.765635e-16 2.484552e-16 2.393140e-16
103 2.904285e-15 2.606391e-15 8.582019e-15 1.403038e-15 7.592091e-16 6.937484e-16 4.926353e-16 3.628567e-16 2.396742e-16 2.308495e-16
104 2.797291e-15 2.521849e-15 8.258963e-15 1.354837e-15 7.305389e-16 6.698625e-16 4.746200e-16 3.497867e-16 2.312946e-16 2.227719e-16
105 2.695180e-15 2.441086e-15 7.951022e-15 1.308818e-15 7.032121e-16 6.470577e-16 4.574368e-16 3.373162e-16 2.232942e-16 2.150600e-16
106 2.597754e-15 2.363896e-15 7.657366e-15 1.264860e-15 6.771542e-16 6.252759e-16 4.410397e-16 3.254121e-16 2.156522e-16 2.076937e-16
107 2.504750e-15 2.290088e-15 7.377199e-15 1.222853e-15 6.522949e-16 6.044582e-16 4.253855e-16 3.140449e-16 2.083493e-16 2.006543e-16
108 2.415919e-15 2.219481e-15 7.109775e-15 1.182691e-15 6.285685e-16 5.845612e-16 4.104339e-16 3.031824e-16 2.013673e-16 1.939244e-16
109 2.332640e-15 2.151906e-15 6.854421e-15 1.144275e-15 6.059137e-16 5.655149e-16 3.961470e-16 2.928080e-16 1.946893e-16 1.874875e-16
110 2.253111e-15 2.087205e-15 6.610474e-15 1.107515e-15 5.842729e-16 5.473475e-16 3.824894e-16 2.829073e-16 1.882991e-16 1.813282e-16
111 2.176447e-15 2.025230e-15 6.377334e-15 1.072323e-15 5.635920e-16 5.300771e-16 3.694279e-16 2.734367e-16 1.821818e-16 1.754320e-16
112 2.102783e-15 1.965841e-15 6.154431e-15 1.038618e-15 5.438205e-16 5.134361e-16 3.569312e-16 2.643596e-16 1.763233e-16 1.697853e-16
113 2.032190e-15 1.908906e-15 5.941222e-15 1.006324e-15 5.249104e-16 4.974804e-16 3.449700e-16 2.556660e-16 1.707104e-16 1.643753e-16
114 1.964505e-15 1.854301e-15 5.737209e-15 9.753686e-16 5.068174e-16 4.821766e-16 3.335167e-16 2.473386e-16 1.653306e-16 1.591902e-16
115 1.899626e-15 1.801912e-15 5.541924e-15 9.456855e-16 4.894993e-16 4.674928e-16 3.225455e-16 2.393568e-16 1.601722e-16 1.542184e-16
116 1.837296e-15 1.751628e-15 5.354912e-15 9.172106e-16 4.729166e-16 4.534036e-16 3.120320e-16 2.317046e-16 1.552241e-16 1.494495e-16
117 1.777696e-15 1.703346e-15 5.175762e-15 8.898840e-16 4.570320e-16 4.398786e-16 3.019531e-16 2.243654e-16 1.504760e-16 1.448733e-16
118 1.720377e-15 1.656970e-15 5.004080e-15 8.636495e-16 4.418107e-16 4.268921e-16 2.922874e-16 2.173235e-16 1.459180e-16 1.404805e-16
119 1.665396e-15 1.612407e-15 4.839489e-15 8.384539e-16 4.272196e-16 4.144180e-16 2.830145e-16 2.105671e-16 1.415410e-16 1.362621e-16
120 1.612633e-15 1.569571e-15 4.681647e-15 8.142471e-16 4.132276e-16 4.024305e-16 2.741151e-16 2.040791e-16 1.373362e-16 1.322097e-16
121 1.561961e-15 1.528381e-15 4.530217e-15 7.909818e-16 3.998054e-16 3.909128e-16 2.655712e-16 1.978475e-16 1.332953e-16 1.283154e-16
122 1.513299e-15 1.488760e-15 4.384895e-15 7.686134e-16 3.869254e-16 3.798413e-16 2.573657e-16 1.918609e-16 1.294107e-16 1.245718e-16
123 1.466551e-15 1.450634e-15 4.245384e-15 7.470997e-16 3.745615e-16 3.691904e-16 2.494824e-16 1.861074e-16 1.256750e-16 1.209716e-16
124 1.421637e-15 1.413935e-15 4.111404e-15 7.264009e-16 3.626890e-16 3.589404e-16 2.419062e-16 1.805761e-16 1.220812e-16 1.175083e-16
125 1.378347e-15 1.378598e-15 3.982699e-15 7.064792e-16 3.512847e-16 3.490743e-16 2.346226e-16 1.752564e-16 1.186228e-16 1.141756e-16
126 1.336819e-15 1.344560e-15 3.859017e-15 6.872990e-16 3.403265e-16 3.395748e-16 2.276180e-16 1.701388e-16 1.152936e-16 1.109674e-16
127 1.296872e-15 1.311765e-15 3.740124e-15 6.688267e-16 3.297936e-16 3.304253e-16 2.208795e-16 1.652134e-16 1.120877e-16 1.078780e-16
