Ls T E B
279 3.351807e-18 2.975681e-18 2.788641e-18
280 3.549469e-18 2.963888e-18 2.777346e-18
281 3.758789e-18 2.952176e-18 2.766146e-18
282 3.980453e-18 2.940559e-18 2.755026e-18
283 4.215189e-18 2.929022e-18 2.744001e-18
284 4.463764e-18 2.917566e-18 2.733056e-18
285 4.726998e-18 2.906204e-18 2.722193e-18
286 5.005768e-18 2.894923e-18 2.711410e-18
287 5.300962e-18 2.883709e-18 2.700707e-18
288 5.613575e-18 2.872589e-18 2.690086e-18
289 5.944617e-18 2.861551e-18 2.679545e-18
290 6.295180e-18 2.850579e-18 2.669085e-18
291 6.666420e-18 2.839688e-18 2.658706e-18
292 7.059549e-18 2.828878e-18 2.648394e-18
293 7.475873e-18 2.818149e-18 2.638177e-18
294 7.916738e-18 2.807501e-18 2.628013e-18
295 8.383611e-18 2.796920e-18 2.617943e-18
296 8.878001e-18 2.786406e-18 2.607941e-18
297 9.401563e-18 2.775973e-18 2.598006e-18
298 9.955993e-18 2.765621e-18 2.588152e-18
299 1.054311e-17 2.755336e-18 2.578365e-18
300 1.116486e-17 2.745118e-18 2.568646e-18
301 1.182327e-17 2.734968e-18 2.559007e-18
302 1.252052e-17 2.724898e-18 2.549422e-18
303 1.325888e-17 2.714896e-18 2.539918e-18
304 1.404080e-17 2.704948e-18 2.530481e-18
305 1.486885e-17 2.695080e-18 2.521112e-18
306 1.574562e-17 2.685293e-18 2.511809e-18
307 1.667423e-17 2.675560e-18 2.502575e-18
308 1.765749e-17 2.665881e-18 2.493407e-18
309 1.869877e-17 2.656283e-18 2.484307e-18
310 1.980157e-17 2.646752e-18 2.475260e-18
311 2.096926e-17 2.637275e-18 2.466295e-18
312 2.220587e-17 2.627865e-18 2.457369e-18
313 2.351532e-17 2.618522e-18 2.448525e-18
314 2.490216e-17 2.609247e-18 2.439734e-18
315 2.637059e-17 2.600025e-18 2.431011e-18
316 2.792572e-17 2.590871e-18 2.422341e-18
317 2.957265e-17 2.581771e-18 2.413739e-18
318 3.131651e-17 2.572738e-18 2.405191e-18
319 3.195716e-17 2.563759e-18 2.396710e-18
320 3.142488e-17 2.554834e-18 2.388283e-18
321 3.090134e-17 2.545976e-18 2.379909e-18
322 3.038656e-17 2.537185e-18 2.371590e-18
323 2.988039e-17 2.528435e-18 2.363338e-18
324 2.938257e-17 2.519752e-18 2.355139e-18
325 2.889323e-17 2.511123e-18 2.346995e-18
326 2.841183e-17 2.502548e-18 2.338904e-18
327 2.793850e-17 2.494040e-18 2.330881e-18
328 2.747313e-17 2.485572e-18 2.322898e-18
329 2.701542e-17 2.477172e-18 2.314969e-18
330 2.656539e-17 2.468812e-18 2.307094e-18
331 2.612289e-17 2.460519e-18 2.299286e-18
332 2.568780e-17 2.452267e-18 2.291518e-18
333 2.525985e-17 2.444069e-18 2.283791e-18
334 2.483903e-17 2.435938e-18 2.276131e-18
335 2.442521e-17 2.427847e-18 2.268525e-18
336 2.401839e-17 2.419811e-18 2.260960e-18
337 2.361830e-17 2.411814e-18 2.253448e-18
338 2.322481e-17 2.403885e-18 2.245990e-18
339 2.283791e-17 2.395996e-18 2.238572e-18
340 2.245748e-17 2.388161e-18 2.231209e-18
341 2.208337e-17 2.380380e-18 2.223885e-18
342 2.171545e-17 2.372640e-18 2.216616e-18
343 2.135373e-17 2.364940e-18 2.209400e-18
344 2.099807e-17 2.357307e-18 2.202225e-18
345 2.064819e-17 2.349714e-18 2.195090e-18
346 2.030424e-17 2.342162e-18 2.188009e-18
347 1.996608e-17 2.334664e-18 2.180982e-18
348 1.963343e-17 2.327206e-18 2.173982e-18
349 1.930644e-17 2.319802e-18 2.167036e-18
350 1.898483e-17 2.312438e-18 2.160143e-18
351 1.866848e-17 2.305115e-18 2.153278e-18
352 1.835751e-17 2.297845e-18 2.146466e-18
353 1.805165e-17 2.290616e-18 2.139694e-18
354 1.775105e-17 2.283428e-18 2.132977e-18
355 1.745529e-17 2.276293e-18 2.126286e-18
356 1.716451e-17 2.269198e-18 2.119650e-18
357 1.687858e-17 2.262144e-18 2.113040e-18
358 1.659736e-17 2.255131e-18 2.106484e-18
359 1.647136e-17 2.248157e-18 2.099968e-18
360 1.649707e-17 2.241224e-18 2.093493e-18
361 1.652265e-17 2.234345e-18 2.087058e-18
362 1.654836e-17 2.227507e-18 2.080650e-18
363 1.657407e-17 2.220695e-18 2.074296e-18
364 1.659992e-17 2.213937e-18 2.067983e-18
365 1.662576e-17 2.207206e-18 2.061709e-18
366 1.665161e-17 2.200529e-18 2.055463e-18
367 1.667746e-17 2.193879e-18 2.049257e-18
368 1.670344e-17 2.187282e-18 2.043105e-18
369 1.672942e-17 2.180713e-18 2.036980e-18
370 1.675554e-17 2.174184e-18 2.030882e-18
371 1.678152e-17 2.167695e-18 2.024837e-18
372 1.680764e-17 2.161247e-18 2.018820e-18
373 1.683375e-17 2.154839e-18 2.012843e-18
374 1.686000e-17 2.148458e-18 2.006906e-18
375 1.688625e-17 2.142118e-18 2.000996e-18
376 1.691250e-17 2.135817e-18 1.995127e-18
377 1.693875e-17 2.129558e-18 1.989298e-18
378 1.696514e-17 2.123325e-18 1.983496e-18
379 1.699153e-17 2.117132e-18 1.977734e-18
380 1.701805e-17 2.110980e-18 1.971999e-18
381 1.704443e-17 2.104855e-18 1.966305e-18
382 1.707095e-17 2.098770e-18 1.960651e-18
383 1.709761e-17 2.092726e-18 1.955010e-18
384 1.712413e-17 2.086708e-18 1.949423e-18
385 1.715078e-17 2.080718e-18 1.943864e-18
386 1.717743e-17 2.074768e-18 1.938331e-18
